Player Name,Credits,Player Type,Team,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
Shahrukh Khan,7.5,ALL,GT,7,0,127,58,18.14,75,169.33,0,1,9,9,6,0,7,12,15,0,0,0,7.5,0,0,0
Shaik Rasheed,5,BAT,CHE,22.5,4,432,100,22.3,420,122,0,3,48,14,7,0,2,24,45,1,0,45,11.2,24,0,0
Shamar Joseph,6.5,BOWL,LSG,1,0,0,0,-,0,-,0,0,0,0,0,0,1,24,47,0,0/47,0,11.75,-,0,0
Shashank Singh,7.5,BAT,PBKS,12,3.5,211.5,0,30.75,131,155.73,0,1,16.5,12.5,5,0,12,9,12.5,0.5,0,2.5,7.5,3,0,0
Sherfane Rutherford,7,BAT,GT,12,2,170,46,18.89,143,118.88,0,0,7,13,5,0,12,41,59,1,45809,59,8.63,41,0,0
Shimron Hetmyer,7.5,BAT,RR,75,26,1312,75,30.51,859,152.74,0,4,79,87,35,0,75,0,0,0,-,-,-,-,0,0
Shivam Dube,8,BAT,CHE,16,3,418,52,38,264,158.33,0,3,12,35,6,0,16,0,0,0,0,0,0,0,0,0
Shreyas Gopal,6.5,BOWL,CHE,6.125,1,22.5,12.33333333,7.7075,21.125,104.25,0,0,2.375,0.25,1.375,0,6.125,118.625,160.25,6.125,0,19.66625,8.9225,13.2875,0.125,0
Shreyas Iyer,8.5,BAT,PBKS,14,1,401,85,30.85,298,134.56,0,3,41,11,5,0,14,6,7,0,0,0,7,0,0,0
Shubham Dubey,5.5,BAT,RR,4,1,33,25,16.5,19,173.68,0,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0
Shubman Gill,9,BAT,GT,97,22,1886,124,28.15,1329,141.91,1,9,151,93,24,0,97,815,1305,43,42095,30.35,9.61,18.95,1,0
Simarjeet- Singh,6,BOWL,SRH,12,3,10,3,10,12,83.33,0,0,0,0,3,0,12,210,333,11,46082,30.27,9.51,19.09,0,0
Spencer Johnson,6.5,BOWL,KKR,7,4,7,5,  ,8,87.5,0,0,1,0,2,0,7,134,224,5,45689,44.8,10.03,26.8,0,0
Sunil Narine,9,ALL,KKR,178,20,1578,109,17.34,951,165.93,1,7,169,100,33,0,178,4100,4598,181,43586,25.4,6.73,22.65,7,1
Suryakumar Yadav,9,BAT,MI,97,22,1886,124,28.15,1329,141.91,1,9,151,93,24,0,97,815,1305,43,42095,30.35,9.61,18.95,1,0
Suryansh Shedge,5.5,ALL,PBKS,1,0,0,0,-,0,-,0,0,0,0,0,0,1,0,0,0,-,-,-,-,0,0
Suyash Sharma,6,BOWL,RCB,6.5,0,0,0,0,0,0,0,0,0,0,0.5,0,6.5,129,186,5,0,16.05,10.49,11.7,0,0
Swapnil Singh,7,ALL,RCB,4.5,2,19.5,0,9.25,12.5,113.095,0,0,1.5,1.5,1,0,4.5,51,75.5,3,0,11.085,8.935,7.5,0,0
Swastik Chikara,5.5,BAT,RCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Natarajan,7.5,BOWL,DC,16,3,3,0,0,5,60,0,0,0,0,3,0,16,377,504,16,0,31.5,8.02,23.56,0,0
Tilak Varma,8,BAT,MI,40,9,1226,84,39.55,851,144.07,0,6,95,61,25,0,40,22,28,0,0/6,-,7.64,-,0,0
Tim David,7.5,BAT,RCB,40,13,681,46,29.61,395,172.41,0,0,39,49,22,0,40,0,0,0,0,-,-,-,0,0
Travis Head,9,BAT,SRH,10,2,32,14,34,200,120,0,0,0,0,0,0,11,67,455,5,6,34,44,45,1,0
Trent Boult,8.5,BOWL,MI,106,19,84,17,9.33,80,105,0,0,5,3,34,0,106,2379,3291,122,43191,26.98,8.3,19.5,1,0
Tripurana Vijay,5.5,BOWL,DC,10,2,150,41,18.8,130,115.4,0,0,12,5,2,0,0,0,0,0,0,0,0,0,0,0
Tristan Stubbs,8,BAT,DC,20,7,460,71,38.33,269,171,0,3,30,29,10,0,20,30,57,4,2\11,14.25,11.4,7.5,0,0
Tushar Deshpande,7.5,BOWL,RR,10.33333333,0.666666667,0,0,0,0.666666667,0,0,0,0,0,1.666666667,0,10.33333333,223.6666667,350.3333333,13,0,38.26666667,9.25,25.06,0.333333333,0
Umran Malik,6,BOWL,KKR,11,2,11.5,0,11.5,8,143.75,0,0,0.5,1,3,0,11,207.5,330.5,13.5,0,31.79,9.94,18.705,0.5,0.5
Vaibhav Arora,6.5,BOWL,KKR,6.666666667,2,3,2,0.833333333,5.333333333,96.15333333,0,0,0,0,1.666666667,0,6.666666667,127.6666667,195.3333333,6.333333333,0,36.32,9.176666667,23.74333333,0,0
Vaibhav Suryavanshi,5,BAT,RR,5,1,80,35,20,70,114.3,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0
Vansh Bedi,5,WK,CHE,15,2,320,65,24.6,280,114.3,0,2,30,10,4,0,0,0,0,0,0,0,0,0,0,0
Varun Chakravarthy,9,BOWL,KKR,73,8,25,10,6.25,46,54.35,0,0,2,0,14,0,73,1636,2062,86,43952,23.98,7.56,19.02,1,1
Venkatesh Iyer,8,BAT,KKR,12,2.333333333,307.3333333,68.5,34.63666667,230,131.6533333,0,3,29.66666667,13.33333333,5,0,12.33333333,27,47.66666667,1,0,7.666666667,15.87,5.666666667,0,0
Vignesh Puthur,5,BOWL,MI,3,1,10,0,10,12,83.3,0,0,1,0,0,0,20,420,520,18,0,28.9,7.4,23.3,0,0
Vijay Shankar,6.5,BAT,CHE,9.2,2,126,20.5,22.786,104.8,107.304,0,0.4,6.8,5.4,4.6,0,9.2,46.4,65,1.8,0,36.366,9.132,23.95,0,0
Vipraj Nigam,5,BOWL,DC,8,5,45,0,15,60,75,0,0,4,1,2,0,25,540,680,22,0,30.9,7.6,24.5,0,0
Virat Kohli,9,BAT,RCB,32.57142857,2.857142857,445.2857143,66,38.09285714,342.8571429,125.4,0.571428571,2.571428571,38.85714286,15.71428571,5.857142857,0,15.57142857,35.85714286,52.57142857,0.571428571,0,14.28571429,9.704285714,10.57142857,0,0
Vishnu Vinod,6.5,WK,PBKS,3,0,37,30,12.33,31,119.35,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0
Vyshak Vijaykumar,7,BOWL,PBKS,12,2,14,13*,7,12,116.67,0,0,0,1,4,0,12,249,423,13,43891,32.54,10.19,19.15,0,0
Wanindu Hasaranga,8.5,ALL,RR,28,4,80,18,6.67,82,97.56,0,0,7,1,3,0,28,594,817,40,43221,20.43,8.25,14.85,2,1
Washington Sundar,7,ALL,GT,8.285714286,1.714285714,54,23.2,12.40571429,46.28571429,101.2214286,0,0,4.571428571,1.285714286,1.714285714,0,8.285714286,146.2857143,178.8571429,5.142857143,0,36.38571429,7.73,28.40428571,0,0
Wiaan Mulder,7,ALL,SRH,1,0,9,9,9,11,81.82,0,0,1,0,1,0,1,6,16,0,0/16,-,16,-,0,0
Will Jacks,7.5,ALL,MI,9,1,241,100,30.13,138,174.64,1,1,18,18,4,0,9,78,132,3,44927,44,10.15,26,0,0
Xavier Bartlett,6.5,BOWL,PBKS,8,4,32,0,8,40,80,0,0,3,1,2,0,35,720,850,42,0,20.2,7.1,17.1,2,0
Yash Dayal,7,BOWL,RCB,9.333333333,0,0,0,0,0.333333333,0,0,0,0,0,1.666666667,0,9.333333333,192.3333333,306.6666667,9.333333333,0,46.67,10.06333333,26.50666667,0,0
Yash Thakur,6.5,BOWL,PBKS,9.5,0,0,0,0,0,0,0,0,0,0,1,0,9.5,202,345.5,12,0,29.39,10.2,17.025,0.5,0.5
Yashasvi Jaiswal,9,BAT,RR,75,26,1312,75,30.51,859,152.74,0,4,79,87,35,0,75,3,1,0,4,0,1,0,0,0
Yudhvir Singh Charak,6.5,ALL,RR,5,0,22,14,5.5,16,137.5,0,0,1,2,0,0,5,72,122,4,43497,30.5,10.17,18,0,0
Yuvraj Chaudhary,5,ALL,LSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuzvendra Chahal,8.5,BOWL,PBKS,14.71428571,1.714285714,5.285714286,3.333333333,1.904285714,11.71428571,60.05142857,0,0,0,0,2.571428571,0,14.71428571,319.5714286,403.7142857,19,0,22.14142857,7.602857143,17.69857143,0.285714286,0.142857143
Zeeshan Ansari,5.5,BOWL,SRH,5,2,15,0,5,20,75,0,0,1,0,1,0,20,420,500,16,0,31.3,7.1,26.3,0,0
